Model,PHA-L high accuracy,PHA-L low accuracy,Overall accuracy,Average loss,ROC AUC score,F1 score,Top 5 features
CD8_NaiveLike_TILmodel,81.632653%,88.775510%,85.204082%,"['Rhoa: 0.0802', 'Gdi2: 0.0626', 'Srp14: 0.0553', 'Hnrnpf: 0.0542', 'Csnk2b: 0.0483', 'Eif3i: 0.0406', 'Ywhab: 0.0402', 'Ncl: 0.0355', 'Pdcd6: 0.0327', 'B4galnt1: 0.0326', 'Srrm1: 0.0316', 'Eif4g2: 0.0251', 'Bcap31: 0.0249', 'Atp6v1e1: 0.0211', 'Otub1: 0.0173', 'Lfng: 0.017', 'Ahsa1: 0.0151', 'Cops6: 0.0147', 'Pdap1: 0.0136', 'Dnajc5: 0.0131', 'Ugcg: 0.011', 'Stt3a: 0.0109', 'Hnrnph1: 0.0101', 'Polr2f: 0.0101', 'B4galt1: 0.01', 'Mgat2: 0.0096']",0.40296520258817287,0.8520408163265306,0.8465608465608465
CD8_EffectorMemory_TILmodel,70.129870%,82.894737%,76.470588%,"['Ncl: 0.0595', 'Rhoa: 0.0571', 'Hnrnpf: 0.0516', 'Eif3i: 0.0346', 'Eif4g2: 0.0342', 'Srp14: 0.0327', 'Csnk2b: 0.0325', 'Ywhab: 0.0323', 'Srrm1: 0.0319', 'Bcap31: 0.0315', 'Pdcd6: 0.0226', 'Gdi2: 0.0226', 'B4galnt1: 0.0174', 'Ugcg: 0.0157', 'Hnrnph1: 0.0151', 'Galnt1: 0.0146', 'Stt3a: 0.0139', 'Ogt: 0.0135', 'Pdap1: 0.0134', 'B3gnt2: 0.0132', 'Dnajc5: 0.0129', 'Ahsa1: 0.012', 'Lfng: 0.0111', 'Cops6: 0.0109', 'Polr2f: 0.0105', 'Atp6v1e1: 0.0105']",0.48662375500483995,0.765123034859877,0.75
Th1_TILmodel,72.727273%,69.767442%,71.264368%,"['Rhoa: 0.0525', 'Hnrnpf: 0.0474', 'Eif4g2: 0.0383', 'Ywhab: 0.0352', 'B4galnt1: 0.0336', 'Ncl: 0.0314', 'Eif3i: 0.0304', 'Csnk2b: 0.0303', 'Gdi2: 0.0298', 'Srp14: 0.0249', 'Srrm1: 0.0237', 'Lfng: 0.0201', 'Bcap31: 0.0199', 'Pdcd6: 0.0198', 'Hnrnph1: 0.0177', 'B4galt1: 0.0175', 'Ugcg: 0.0165', 'Chsy1: 0.0135', 'Galnt1: 0.0133', 'Galnt6: 0.0129', 'B3gnt2: 0.0126', 'Ahsa1: 0.0121', 'Ogt: 0.0116', 'Pdap1: 0.0112', 'Atp6v1e1: 0.0112', 'B3gat3: 0.0094']",0.49647154612122396,0.7124735729386893,0.7191011235955056
CD8_EarlyActiv_TILmodel,56.923077%,85.384615%,71.153846%,"['Rhoa: 0.0665', 'Hnrnpf: 0.0504', 'Eif3i: 0.0469', 'Ncl: 0.0399', 'B4galnt1: 0.0377', 'Csnk2b: 0.0377', 'Srp14: 0.037', 'Srrm1: 0.0369', 'Gdi2: 0.0347', 'Eif4g2: 0.032', 'Ywhab: 0.026', 'Pdcd6: 0.025', 'Bcap31: 0.0225', 'Cops6: 0.0176', 'Stt3a: 0.0163', 'Pdap1: 0.0159', 'Polr2f: 0.0151', 'Hnrnph1: 0.0143', 'Ugcg: 0.0133', 'B4galt1: 0.0129', 'Lfng: 0.0128', 'Dnajc5: 0.0127', 'Atp6v1e1: 0.0123', 'Ogt: 0.0115', 'Otub1: 0.0111', 'Chst12: 0.0104']",0.5453656778018331,0.7115384615384615,0.6636771300448431
Treg_TILmodel,73.584906%,84.615385%,79.047619%,"['Rhoa: 0.0619', 'Hnrnpf: 0.0477', 'Csnk2b: 0.0423', 'B4galnt1: 0.0409', 'Eif3i: 0.0395', 'Ywhab: 0.0377', 'Gdi2: 0.0354', 'Srp14: 0.0351', 'Srrm1: 0.0349', 'Ncl: 0.0304', 'Eif4g2: 0.0236', 'Pdcd6: 0.0218', 'Chst12: 0.018', 'Bcap31: 0.0176', 'Atp6v1e1: 0.0172', 'Otub1: 0.0161', 'Polr2f: 0.0156', 'Cops6: 0.0155', 'Pdap1: 0.0153', 'Hnrnph1: 0.0147', 'Ahsa1: 0.0134', 'B3gnt2: 0.0127', 'Ilf2: 0.0116', 'Galnt6: 0.0108', 'Ogt: 0.0101', 'Ugcg: 0.0096']",0.5093756271134371,0.7910014513788098,0.78
CD8_Tex_TILmodel,83.823529%,85.074627%,84.444444%,"['Srp14: 0.0636', 'Rhoa: 0.0564', 'Gdi2: 0.0472', 'Eif3i: 0.0439', 'Hnrnpf: 0.042', 'Ncl: 0.0402', 'B4galnt1: 0.0366', 'Srrm1: 0.028', 'Ugcg: 0.0268', 'Ywhab: 0.0268', 'Eif4g2: 0.0261', 'Csnk2b: 0.0246', 'Bcap31: 0.0243', 'Hnrnph1: 0.0171', 'Chst12: 0.0168', 'Atp6v1e1: 0.0167', 'Dnajc5: 0.0162', 'Pdcd6: 0.0159', 'Otub1: 0.0154', 'Pdap1: 0.0145', 'Polr2f: 0.0139', 'B4galt1: 0.0134', 'Lfng: 0.0132', 'Cops6: 0.0122', 'Ogt: 0.0117', 'Mgat2: 0.0105']",0.42015342740823486,0.8444907813871818,0.8444444444444444
CD4_NaiveLike_TILmodel,46.666667%,85.714286%,65.517241%,"['Rhoa: 0.0617', 'Gdi2: 0.057', 'Srp14: 0.054', 'Ywhab: 0.0465', 'Csnk2b: 0.0458', 'B4galnt1: 0.0418', 'Eif4g2: 0.0319', 'Bcap31: 0.0315', 'Chst12: 0.031', 'Eif3i: 0.0269', 'Hnrnpf: 0.0252', 'Cops6: 0.023', 'Hnrnph1: 0.0203', 'Lfng: 0.019', 'Otub1: 0.0179', 'Atp6v1e1: 0.0166', 'St8sia4: 0.0157', 'B4galt1: 0.0134', 'Srrm1: 0.0128', 'Ncl: 0.0126', 'Ncbp2: 0.0118', 'Gxylt1: 0.0117', 'Pdcd6: 0.0114', 'St3gal6: 0.0104', 'Ilf2: 0.0099', 'Ugcg: 0.0097']",0.5514179953805367,0.661904761904762,0.5833333333333334
Tfh_TILmodel,71.428571%,42.857143%,57.142857%,"['Hnrnpf: 0.0725', 'Rhoa: 0.0477', 'Otub1: 0.0444', 'Hnrnph1: 0.04', 'Galnt1: 0.0399', 'Eif4g2: 0.0398', 'Srp14: 0.0372', 'Gdi2: 0.0325', 'Csnk2b: 0.0308', 'Eif3i: 0.0243', 'Ncl: 0.0217', 'Srrm1: 0.0191', 'Ywhab: 0.0191', 'Alg5: 0.0186', 'Hnrnph2: 0.0175', 'Galnt6: 0.0165', 'B4galnt1: 0.0164', 'Galnt12: 0.0164', 'St8sia4: 0.0159', 'Mfng: 0.0158', 'St6gal1: 0.0157', 'B3galnt2: 0.0147', 'Ogt: 0.0143', 'Bcap31: 0.0135', 'Pigm: 0.0129', 'Ahsa1: 0.0116']",0.7302546292873696,0.5714285714285715,0.6250000000000001
CD8_Tpex_TILmodel,25.000000%,100.000000%,57.142857%,"['Rhoa: 0.0689', 'Stt3a: 0.0479', 'Eif4g2: 0.0428', 'Hnrnpf: 0.0418', 'Ncl: 0.0293', 'Ilf2: 0.029', 'B4galt1: 0.0261', 'Pdap1: 0.0252', 'Hnrnph1: 0.0243', 'Srrm1: 0.0233', 'Ywhab: 0.023', 'St8sia4: 0.0229', 'Eif3i: 0.0217', 'Gdi2: 0.0188', 'Bcap31: 0.0175', 'Galnt1: 0.0174', 'St6galnac3: 0.017', 'Chpf: 0.0168', 'Srp14: 0.0163', 'B4galnt1: 0.0157', 'Api5: 0.0147', 'Csnk2b: 0.0145', 'B3gnt2: 0.014', 'Otub1: 0.0131', 'Ahsa1: 0.0125', 'Atp6v1e1: 0.0121']",0.5996950194709681,0.625,0.4
CD8_NaiveLike_LNmodel,95.652174%,90.909091%,93.333333%,"['B4galnt1: 0.0784', 'Sptlc2: 0.0538', 'Galnt1: 0.0513', 'Lfng: 0.0499', 'Alg5: 0.0462', 'Mgat2: 0.0302', 'Dpm2: 0.0269', 'Galnt6: 0.0244', 'Chst12: 0.0235', 'Stt3a: 0.0227', 'Mfng: 0.0218', 'St3gal4: 0.0214', 'Pofut2: 0.0203', 'B3gat3: 0.0183', 'Chsy1: 0.0156', 'St8sia4: 0.0153', 'B3gnt2: 0.0152', 'St6galnac4: 0.0149', 'Ogt: 0.0142', 'Fut11: 0.0139', 'B4galt1: 0.0132', 'Ugcg: 0.013', 'Colgalt1: 0.0129', 'Alg3: 0.0121', 'Mgat1: 0.0114', 'C1galt1: 0.0111']",0.3034083304604158,0.9328063241106719,0.9361702127659574
CD8_EffectorMemory_LNmodel,59.259259%,76.923077%,67.924528%,"['B4galnt1: 0.0473', 'Galnt6: 0.0343', 'Mgat5: 0.032', 'Lfng: 0.0315', 'Mgat1: 0.0294', 'Sptlc2: 0.0274', 'Ogt: 0.027', 'B4galt1: 0.0255', 'Alg1: 0.0243', 'St6gal1: 0.0225', 'Stt3a: 0.0219', 'St3gal6: 0.021', 'Alg5: 0.021', 'Dpm2: 0.0208', 'Ext2: 0.0206', 'Galnt1: 0.0205', 'Dse: 0.0203', 'Tmem260: 0.0201', 'Mgat2: 0.0186', 'B3gnt2: 0.0184', 'Fut8: 0.018', 'Stt3b: 0.016', 'Pofut1: 0.0159', 'St6galnac3: 0.0154', 'St8sia6: 0.0152', 'Mfng: 0.0147']",0.6509125637582498,0.6809116809116809,0.6530612244897959
Th1_LNmodel,40.909091%,76.190476%,58.139535%,"['B4galnt1: 0.0824', 'Lfng: 0.0465', 'Chst12: 0.0341', 'B3gnt2: 0.0328', 'St8sia4: 0.0314', 'Galnt1: 0.0308', 'St3gal6: 0.0271', 'Ugcg: 0.0243', 'Galnt2: 0.0227', 'B4galt1: 0.0212', 'Colgalt1: 0.0205', 'St6galnac4: 0.0196', 'Pigm: 0.0187', 'B3gnt5: 0.0183', 'Mfng: 0.0175', 'Stt3b: 0.0169', 'Sptlc2: 0.0165', 'Stt3a: 0.0162', 'Ogt: 0.0147', 'Fut8: 0.0145', 'Alg5: 0.0139', 'Galnt6: 0.0135', 'Mgat1: 0.012', 'Dpm2: 0.0111', 'Mgat2: 0.011', 'Dse: 0.0107']",0.6817289184967742,0.5854978354978355,0.5000000000000001
CD8_EarlyActiv_LNmodel,71.733967%,84.615385%,78.136201%,"['B4galnt1: 0.133', 'Lfng: 0.0385', 'St3gal6: 0.0329', 'B4galt1: 0.0223', 'Stt3a: 0.0217', 'Mgat2: 0.0197', 'St8sia6: 0.0192', 'Ogt: 0.0189', 'Mfng: 0.0185', 'B3gnt2: 0.0175', 'St3gal4: 0.0167', 'Colgalt1: 0.0167', 'Ugcg: 0.016', 'Galnt6: 0.0159', 'Ncbp2: 0.015', 'St6galnac4: 0.015', 'Sptlc2: 0.0148', 'Dpm2: 0.0147', 'B4galt7: 0.0141', 'Uggt1: 0.0139', 'Galnt1: 0.0138', 'Dse: 0.0138', 'Alg5: 0.0133', 'Stt3b: 0.0131', 'B3gat3: 0.0124', 'Fut8: 0.0117']",0.49533276791665626,0.7817467568061393,0.7674714104193138
Treg_LNmodel,100.000000%,50.000000%,77.777778%,"['B4galnt1: 0.0848', 'B3gnt2: 0.0456', 'Lfng: 0.0393', 'Chst12: 0.0289', 'Galnt6: 0.0273', 'Chsy1: 0.0268', 'Dse: 0.0259', 'Pofut2: 0.0223', 'Ugcg: 0.0223', 'B4galt5: 0.0207', 'Mfng: 0.0203', 'Ogt: 0.02', 'St8sia4: 0.0188', 'Gxylt1: 0.0186', 'Stt3a: 0.0186', 'C1galt1: 0.0184', 'Colgalt1: 0.0179', 'Galnt11: 0.0173', 'Chpf: 0.0172', 'Galnt2: 0.0168', 'St3gal1: 0.0167', 'Fut8: 0.0152', 'Pigv: 0.0143', 'Ncbp2: 0.0139', 'Mgat1: 0.0134', 'St6galnac4: 0.0127']",0.43707315913183414,0.75,0.8333333333333333
CD8_Tex_LNmodel,85.714286%,84.615385%,85.185185%,"['B4galnt1: 0.1003', 'Ugcg: 0.0417', 'Ncbp2: 0.0269', 'Ext2: 0.0268', 'Ogt: 0.0244', 'St3gal6: 0.0244', 'Chst12: 0.0233', 'Alg5: 0.0214', 'Lfng: 0.0213', 'Pofut2: 0.019', 'B3gat3: 0.0185', 'Fut8: 0.0182', 'Mgat2: 0.0173', 'Mgat1: 0.0169', 'Mfng: 0.016', 'Galnt6: 0.0159', 'Stt3b: 0.0157', 'St8sia4: 0.0144', 'Galnt11: 0.014', 'Chsy1: 0.0136', 'B4galt1: 0.0136', 'B3galt4: 0.0135', 'Sptlc2: 0.0131', 'B3gnt2: 0.0124', 'St8sia6: 0.0124', 'Dpm2: 0.0124']",0.5233286064592455,0.8516483516483516,0.8571428571428571
CD4_NaiveLike_LNmodel,100.000000%,50.000000%,75.000000%,"['B4galnt1: 0.0903', 'Mfng: 0.0553', 'Dse: 0.039', 'Chst12: 0.038', 'Chpf: 0.0274', 'Chst11: 0.0269', 'B4galt7: 0.0245', 'Stt3a: 0.0238', 'Mgat1: 0.0191', 'B3galt6: 0.0186', 'Uggt1: 0.0184', 'Ugcg: 0.0172', 'Alg5: 0.0162', 'Lfng: 0.0161', 'B4galt1: 0.0159', 'Sptlc2: 0.0156', 'Pigm: 0.0152', 'St6galnac3: 0.015', 'St6galnac6: 0.014', 'St3gal6: 0.0136', 'Pofut1: 0.0133', 'B3galnt2: 0.0132', 'Gxylt1: 0.0128', 'Galnt12: 0.0122', 'Chsy1: 0.012', 'Ogt: 0.012']",0.538279702703292,0.75,0.8
Tfh_LNmodel,64.000000%,66.666667%,65.306122%,"['B4galnt1: 0.0634', 'Lfng: 0.0566', 'B3gnt2: 0.0331', 'Ogt: 0.0315', 'St6gal1: 0.0259', 'Galnt6: 0.0239', 'Chst12: 0.0224', 'Mgat5: 0.0222', 'Stt3b: 0.0209', 'Poglut1: 0.02', 'B4galt1: 0.0195', 'Stt3a: 0.019', 'Tmem260: 0.0176', 'St8sia6: 0.0168', 'Extl3: 0.0165', 'Colgalt1: 0.0164', 'St8sia1: 0.015', 'Mfng: 0.0149', 'St8sia4: 0.0146', 'St6galnac3: 0.0145', 'St3gal1: 0.0143', 'Mgat2: 0.0142', 'Galnt10: 0.0142', 'Pofut2: 0.0141', 'Galnt1: 0.0136', 'Uggt1: 0.0125']",0.6304926067649181,0.6533333333333334,0.6530612244897959
CD8_Tpex_LNmodel,33.333333%,100.000000%,60.000000%,"['St8sia4: 0.0647', 'B4galnt1: 0.0618', 'B3gnt2: 0.0575', 'Galnt12: 0.0465', 'Chst12: 0.0418', 'Mgat1: 0.0379', 'Mfng: 0.0316', 'St3gal1: 0.0313', 'Galnt6: 0.0289', 'Pofut2: 0.0254', 'Ogt: 0.0235', 'B4gat1: 0.0235', 'Stt3b: 0.0217', 'Stt3a: 0.0209', 'St6gal1: 0.0208', 'B3galt6: 0.0192', 'Mgat2: 0.0184', 'B3gat3: 0.0183', 'B3galnt2: 0.018', 'Lfng: 0.0171', 'B4galt1: 0.0167', 'St6galnac4: 0.0162', 'Sptlc2: 0.0161', 'Fut11: 0.016', 'Ugcg: 0.0143', 'Xylt2: 0.0141']",0.6153492525772493,0.6666666666666666,0.5
